software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1902;screenHeight 973;centerX 951;centerY 486;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 545;cornerY 80;externalRadius 406;internalRadius 326;borderRadius 1;cursorRadius 16;indexOfDifficulty 48.86179212285402;taskRadius 365.5;taskTolerance 47
2025-12-01 20:50:10.412 +0100

timestamp,mouseX,mouseY,mouseInTarget
1764618614352,1213,203,1
1764618614363,1202,200,1
1764618614366,1192,195,1
1764618614376,1181,193,1
1764618614384,1169,188,1
1764618614392,1161,187,1
1764618614400,1149,183,1
1764618614408,1137,180,1
1764618614416,1125,176,1
1764618614425,1116,174,1
1764618614432,1107,170,1
1764618614440,1098,167,1
1764618614450,1091,166,1
1764618614456,1084,161,1
1764618614466,1075,160,1
1764618614470,1068,156,1
1764618614482,1060,154,1
1764618614487,1053,151,1
1764618614498,1045,150,1
1764618614505,1036,148,1
1764618614516,1025,145,1
1764618614520,1017,145,1
1764618614528,1005,144,1
1764618614536,998,142,1
1764618614548,993,142,1
1764618614550,988,141,1
1764618614560,985,141,1
1764618614567,982,141,1
1764618614576,979,141,1
1764618614584,975,141,1
1764618614592,971,141,1
1764618614601,966,141,1
1764618614608,962,141,1
1764618614616,956,141,1
1764618614624,947,142,1
1764618614632,940,144,1
1764618614640,932,145,0
1764618614649,923,148,0
1764618614655,915,151,0
1764618614666,905,153,0
1764618614671,898,154,0
1764618614683,891,156,0
1764618614686,881,158,0
1764618614698,874,159,0
1764618614704,867,160,0
1764618614716,858,164,0
1764618614719,854,166,0
1764618614729,840,170,0
1764618614736,828,170,0
1764618614745,815,173,0
1764618614751,803,173,1
1764618614759,791,177,1
1764618614768,784,178,1
1764618614777,774,179,1
1764618614783,765,183,1
1764618614796,758,184,1
1764618614798,751,188,1
1764618614809,744,189,1
1764618614816,735,193,1
1764618614828,730,195,1
1764618614830,723,197,1
1764618614840,718,199,1
1764618614848,709,202,1
1764618614857,702,203,1
1764618614867,698,206,1
1764618614872,694,207,1
1764618614882,686,211,1
1764618614888,683,213,1
1764618614899,681,214,1
1764618614902,678,218,1
1764618614916,675,220,1
1764618614918,673,222,1
1764618614929,669,227,1
1764618614935,669,234,1
1764618614944,662,242,1
1764618614952,660,244,1
1764618614960,657,251,1
1764618614966,655,260,1
1764618614976,651,269,1
1764618614985,650,276,1
1764618614992,646,286,1
1764618615000,643,298,1
1764618615008,639,309,1
1764618615014,636,321,1
1764618615024,632,336,1
1764618615032,630,348,1
1764618615041,624,363,1
1764618615048,621,375,1
1764618615055,617,390,1
1764618615063,616,404,1
1764618615074,612,421,1
1764618615078,610,433,1
1764618615090,609,444,1
1764618615098,609,456,1
1764618615103,605,471,1
1764618615115,602,482,1
1764618615119,597,494,1
1764618615129,596,504,1
1764618615136,590,516,1
1764618615144,589,526,1
1764618615150,588,537,1
1764618615160,585,549,1
1764618615167,584,554,1
1764618615176,583,564,1
1764618615184,583,568,1
1764618615192,583,574,1
1764618615200,581,580,1
1764618615208,581,582,1
1764618615216,581,587,1
1764618615224,581,591,1
1764618615232,581,595,1
1764618615240,581,599,1
1764618615247,581,600,1
1764618615255,581,604,1
1764618615264,581,608,0
1764618615273,581,613,0
1764618615280,581,615,0
1764618615290,581,620,0
1764618615295,584,629,0
1764618615307,586,632,0
1764618615312,590,637,0
1764618615321,591,640,0
1764618615328,595,646,0
1764618615338,596,647,0
1764618615346,600,653,1
1764618615349,601,656,0
1764618615360,604,660,1
1764618615368,606,661,1
1764618615376,611,667,1
1764618615384,614,670,1
1764618615392,618,674,1
1764618615400,624,679,1
1764618615407,630,684,1
1764618615415,634,686,1
1764618615423,640,691,1
1764618615429,649,696,1
1764618615439,655,701,1
1764618615448,663,704,1
1764618615456,669,709,1
1764618615464,676,716,1
1764618615472,684,721,1
1764618615477,691,726,1
1764618615486,699,732,1
1764618615496,706,736,1
1764618615504,712,741,1
1764618615512,721,746,1
1764618615520,731,751,1
1764618615528,738,755,1
1764618615535,744,758,0
1764618615544,751,763,0
1764618615552,756,766,0
1764618615559,762,771,0
1764618615567,764,773,1
1764618615574,767,776,1
1764618615583,775,780,1
